"","Country","WHO_region","T0","T0/2","T0/3","T0/4","T0/5","Criterion","transform","filter","domain"
"217","Iran (Islamic Republic of)","EMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"218","Iraq","EMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"219","Jordan","EMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"220","Kuwait","EMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"221","Lebanon","EMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"222","Libya","EMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"223","Morocco","EMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"224","Oman","EMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"225","Pakistan","EMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"226","Qatar","EMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"227","Saudi Arabia","EMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"228","Somalia","EMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"229","Sudan","EMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"230","Syrian Arab Republic","EMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"231","Tunisia","EMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"232","United Arab Emirates","EMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"233","Yemen","EMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"234","occupied Palestinian territory including east Jerusalem","EMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"235","Afghanistan","EMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"236","Bahrain","EMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"237","Djibouti","EMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"238","Egypt","EMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"239","Iran (Islamic Republic of)","EMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"240","Iraq","EMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"241","Jordan","EMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"242","Kuwait","EMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
